City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,20.25,28,20,8.23,CL,1736277384
1,horta,38.5333,-28.6333,17.23,72,40,12.35,PT,1736277488
2,urangan,-25.3,152.9,23.7,62,0,3.56,AU,1736277617
3,palikir - national government center,6.9248,158.1611,27.41,78,100,3.6,FM,1736277618
4,margaret river,-33.95,115.0667,14.19,88,100,2.97,AU,1736277619
5,martapura,-3.4167,114.85,25.05,100,40,1.54,ID,1736277620
6,adamstown,-25.066,-130.1015,24.27,74,71,3.08,PN,1736277621
7,lingyuan,41.24,119.4011,-11.11,40,8,7.76,CN,1736277622
8,yarmouth,41.7057,-70.2286,-2.8,57,100,14.31,US,1736277623
9,port-aux-francais,-49.35,70.2167,5.92,81,100,14.09,TF,1736277624
10,ilulissat,69.2167,-51.1,-4.99,54,40,2.06,GL,1736277625
11,nar'yan-mar,67.6713,53.087,-22.42,100,92,3.32,RU,1736277570
12,ola,59.5833,151.2833,-17.79,78,10,4.11,RU,1736277628
13,ribeira grande,38.5167,-28.7,17.65,67,40,12.35,PT,1736277630
14,sisimiut,66.9395,-53.6735,-6.83,81,53,5.52,GL,1736277631
15,keflavik,64.0049,-22.5624,-1.76,86,75,4.12,IS,1736277632
16,jamestown,42.097,-79.2353,-4.43,78,100,9.77,US,1736277633
17,aland,17.5667,76.5667,19.66,42,1,4.58,IN,1736277635
18,serov,59.6033,60.5787,-19.08,92,12,2.27,RU,1736277431
19,wailua homesteads,22.0669,-159.378,26.18,77,75,7.72,US,1736277637
20,ust-nera,64.5667,143.2,-33.59,92,99,1.37,RU,1736277638
21,demopolis,32.5176,-87.8364,3.97,56,0,3.09,US,1736277639
22,kitimat,54.0524,-128.6534,3.59,100,100,1.9,CA,1736277640
23,grytviken,-54.2811,-36.5092,5.76,55,19,1.62,GS,1736277421
24,touros,-5.1989,-35.4608,28.54,67,99,5.97,BR,1736277643
25,tazovsky,67.4667,78.7,-15.71,89,100,6.31,RU,1736277552
26,enewetak,11.3474,162.3373,27.41,78,90,9.28,MH,1736277645
27,uturoa,-16.7333,-151.4333,27.26,69,33,2.12,PF,1736277646
28,santa cruz,-17.8,-63.1667,25.7,94,75,6.69,BO,1736277647
29,lesosibirsk,58.2358,92.4828,-12.52,98,100,0.8,RU,1736277648
30,tiksi,71.6872,128.8694,-18.38,78,100,6.2,RU,1736277650
